Country,Strategy,Net Assets (USD)
US,Credit Asset Based Lending,201
US,Credit Long / Short,419
US,Equity Hedge: Long / Short,1214
US,Equity Hedge: Long Bias,515
US,Event Driven: Distressed / Restructuring,226
US,Event Driven: Equity Special Solutions,84
US,Event Driven: Risk Arbitrage / Merger Acquisition,111
US,Macro,1586
US,Managed Futures / CTA,277
US,Other (Incl. Multi-Strategy),1716
US,Relative Value: Convertible Bond Arbitrage,126
US,Relative Value: Fixed Income Arbitrage,154
US,Relative Value: Volatility Arbitrage,82
